TAB1 declare integers c , small , big , a , l ; TAB1 read c , small , big , a , l ; TAB1 set cnt to 0 ; TAB1 set p to 0 ; TAB1 set v to small ; TAB1 while p < c ; TAB2 increment cnt ; TAB2 if cnt = = 1 ; TAB3 increase p by v ; TAB3 set v to min ( v + a , big ) ; TAB2 else ; TAB3 decrease p by l ; TAB3 increase p by v ; TAB3 set v to min ( v + a , big ) ; TAB1 write cnt and newline ;	int main ( ) { int c , small , big , a , l ; cin >> c >> small >> big >> a >> l ; int cnt = 0 ; int p = 0 ; int v = small ; while ( p < c ) { cnt ++ ; if ( cnt == 1 ) { p += v ; v = min ( v + a , big ) ; } else { p -= l ; p += v ; v = min ( v + a , big ) ; } } cout << cnt << endl ; return 0 ; }
TAB0 in function A , taking int n ; TAB1 let sum , tmp be integers with sum = 0 ; TAB1 for i = 0 to n exclusive ; TAB2 read tmp ; TAB2 increase sum by tmp ; TAB1 define ans = 0 ; TAB1 for i = 1 to 5 inclusive ; TAB2 if ( ( sum + i ) % ( n + 1 ) ! = 1 ) increment ans ; TAB1 print ans ; TAB1 declare int n ; TAB1 read n ; TAB1 call A with n ;	void A ( int n ) { int sum = 0 , tmp ; for ( int i = 0 ; i < n ; i ++ ) { cin >> tmp ; sum += tmp ; } int ans = 0 ; for ( int i = 1 ; i <= 5 ; i ++ ) { if ( ( sum + i ) % ( n + 1 ) != 1 ) { ans ++ ; } } cout << ans << endl ; } int main ( ) { int n ; cin >> n ; A ( n ) ; return 0 ; }
TAB1 let n , a , b , c be long long ints ; TAB1 read n , a , b , c ; TAB1 set n to n % 4 ; TAB1 let tot be long long with tot = 4 - n ; TAB1 if tot is 4 ; TAB2 print 0 ; TAB1 else do the following ; TAB2 if tot is 1 ; TAB3 print minimum of a and min ( b + c , 3 * c ) ; TAB2 else if tot is 2 ; TAB3 print minimum of 2 * a and min ( b , 2 * c ) and new line ; TAB2 else if tot is 3 ; TAB3 print minimum of 3 * a and min ( c , b + a ) ;	int main ( ) { long long n , a , b , c ; cin >> n >> a >> b >> c ; n = n % 4 ; long long tot = 4 - n ; if ( tot == 4 ) cout << 0 << endl ; else { if ( tot == 1 ) cout << min ( a , min ( b + c , 3 * c ) ) << endl ; else if ( tot == 2 ) { cout << min ( 2 * a , min ( b , 2 * c ) ) << endl ; } else if ( tot == 3 ) { cout << min ( 3 * a , min ( c , b + a ) ) << endl ; } } return 0 ; }
TAB1 create a , b , c , d , e , f , g integers ; TAB1 read a ; TAB1 read b ; TAB1 read c ; TAB1 set d = a + b * c ; TAB1 set e = a * ( b + c ) ; TAB1 set f = a * b * c ; TAB1 set g = ( a + b ) * c ; TAB1 create integer y = a + b + c ; TAB1 create integers o , p , r ; TAB1 set r to maximum of d and y ; TAB1 set o to maximum of r and e ; TAB1 set p to maximum of f and g ; TAB1 print maximum of o and p ;	int main ( ) { int a , b , c , d , e , f , g ; cin >> a ; cin >> b ; cin >> c ; d = a + b * c ; e = a * ( b + c ) ; f = a * b * c ; g = ( a + b ) * c ; int y = a + b + c ; int o , p , r ; r = max ( d , y ) ; o = max ( r , e ) ; p = max ( f , g ) ; cout << max ( o , p ) << endl ; }
TAB0 make integers n and ans with n = 0 and ans = 0 ; TAB0 make integer arrays a and b of size 100005 each ; TAB1 make integer i ; TAB1 read i ; TAB1 for i = 1 to n inclusive ; TAB2 input a [ i ] ; TAB2 assign a [ i ] to b [ i ] ; TAB1 call sort on a + 1 and a + n + 1 ; TAB1 for i = 1 to n inclusive ; TAB2 if a [ i ] doesn ' t equal b [ i ] then add 1 to ans ; TAB2 if ans is greater than 2 ; TAB3 print NO ; TAB1 print YES ;	int n , ans = 0 ; int a [ 100005 ] , b [ 100005 ] ; int main ( ) { int i ; cin >> n ; for ( i = 1 ; i <= n ; i ++ ) { cin >> a [ i ] ; b [ i ] = a [ i ] ; } sort ( a + 1 , a + n + 1 ) ; for ( i = 1 ; i <= n ; i ++ ) { if ( a [ i ] != b [ i ] ) { ans ++ ; } if ( ans > 2 ) { cout << " NO " << endl ; return 0 ; } } cout << " YES " << endl ; return 0 ; }
TAB1 t = integer set = 5 ; TAB1 sum = integer set = 0 ; TAB1 while decrementing t by 1 is > 0 ; TAB2 x = integer ; TAB2 read x ; TAB2 increment sum by x ; TAB1 if sum modulo 5 = 0 and sum ! = 0 ; TAB2 print sum / 5 ; TAB1 else ; TAB2 read - 1 ;	int main ( ) { int t = 5 ; int sum = 0 ; while ( t -- ) { int x ; cin >> x ; sum += x ; } if ( sum % 5 == 0 && sum != 0 ) cout << sum / 5 << endl ; else cout << - 1 << endl ; }
TAB0 graph = array of ints of lengths 105 and 105 ; TAB0 x and y = integer arrays of length 105 each ; TAB0 visited = integer array of length 105 , n = integer ; TAB0 in function dfs with integer argument s and return void ; TAB1 assign 1 to visited [ s ] ; TAB1 for i = 1 to n inclusive ; TAB2 if graph [ s ] [ i ] and visited [ i ] are equal to 0 , then call function dfs with argument i ; TAB1 return ; TAB1 let i , j , and k be integers ; TAB1 read n ; TAB1 for i = 1 to n inclusive , output x [ i ] and y [ i ] ; TAB1 for i = 1 to n inclusive ; TAB2 for j = 1 to j inclusive ; TAB3 if x [ i ] is equal to x [ j ] or y [ i ] is equal to y [ j ] , then assign 1 to graph [ i ] [ j ] ; TAB1 ans = integer = 0 ; TAB1 for i = 1 to n inclusive ; TAB2 if visited [ i ] is equal to 0 ; TAB3 call function dfs with argument i ; TAB3 increment ans ; TAB1 output ans - 1 ;	int graph [ 105 ] [ 105 ] ; int x [ 105 ] , y [ 105 ] ; int visted [ 105 ] , n ; void dfs ( int s ) { visted [ s ] = 1 ; for ( int i = 1 ; i <= n ; i ++ ) { if ( graph [ s ] [ i ] && visted [ i ] == 0 ) dfs ( i ) ; } return ; } int main ( ) { int i , j , k ; cin >> n ; for ( i = 1 ; i <= n ; i ++ ) cin >> x [ i ] >> y [ i ] ; for ( i = 1 ; i <= n ; i ++ ) { for ( j = 1 ; j <= n ; j ++ ) { if ( x [ i ] == x [ j ] || y [ i ] == y [ j ] ) graph [ i ] [ j ] = 1 ; } } int ans = 0 ; for ( i = 1 ; i <= n ; i ++ ) { if ( visted [ i ] == 0 ) { dfs ( i ) ; ans ++ ; } } cout << ans - 1 << endl ; return 0 ; }
TAB1 n = integer ; TAB1 read n ; TAB1 in = string ; TAB1 read in ; TAB1 temp = char set to ' D ' ; TAB1 cnt = integer set to 0 ; TAB1 for i = 0 to n exclusive ; TAB2 if temp = ' U ' and index i of in = ' R ' or temp = ' R ' and index i of in = ' U ' ; TAB3 set temp to ' D ' ; TAB2 else if temp = ' U ' and index i of in = ' U ' or temp = ' R ' and index i of in = ' R ' ; TAB3 increment cnt by 1 ; TAB2 else ; TAB3 if index i of in = ' U ' ; TAB4 set temp = ' U ' ; TAB4 increment cnt by 1 ; TAB3 else ; TAB4 set temp = ' R ' ; TAB4 increment cnt by 1 ; TAB1 read cnt ;	int main ( ) { int n ; cin >> n ; string in ; cin >> in ; char temp = ' D ' ; int cnt = 0 ; for ( int i = 0 ; i < n ; ++ i ) { if ( temp == ' U ' && in [ i ] == ' R ' || temp == ' R ' && in [ i ] == ' U ' ) { temp = ' D ' ; } else if ( temp == ' U ' && in [ i ] == ' U ' || temp == ' R ' && in [ i ] == ' R ' ) { ++ cnt ; } else { if ( in [ i ] == ' U ' ) { temp = ' U ' ; ++ cnt ; } else { temp = ' R ' ; ++ cnt ; } } } cout << cnt << endl ; return 0 ; }
TAB1 let s = string ; TAB1 read s ; TAB1 l = integer with l = size of s ; TAB1 if s [ 0 ] is greater than or equal to the character a and s [ 0 ] is less than or equal to the character z ; TAB2 output s [ 0 ] - 32 as a character ; TAB1 else ; TAB2 output s [ 0 ] ; TAB1 for i = 1 to 1 exclusive , output s [ i ] ; TAB1 output newline ;	int main ( ) { string s ; cin >> s ; int l = s . size ( ) ; if ( s [ 0 ] >= ' a ' && s [ 0 ] <= ' z ' ) { cout << char ( s [ 0 ] - 32 ) ; } else { cout << s [ 0 ] ; } for ( int i = 1 ; i < l ; i ++ ) { cout << s [ i ] ; } cout << endl ; return 0 ; }
TAB1 create long long integer q ; TAB1 read q ; TAB1 if q modulo 4 is equal to 0 or q modulo 4 is equal to 3 ; TAB2 output 0 ; TAB1 else ; TAB2 print " 1 " ;	int main ( ) { long long int q ; cin >> q ; if ( ( q ) % 4 == 0 || ( q ) % 4 == 3 ) cout << 0 << " \n " ; else cout << " 1\n " ; }
